,Males,Total
Suffolk County,45,29%
Middlesex County,21,13%
Hampden County,19,12%
Worcester County,15,10%
Bristol County,13,8%
Essex County,12,8%
Norfolk County,9,6%
Plymouth County,6,4%
Barnstable County,4,3%
Berkshire County,3,2%
Hampshire County,2,1%
Franklin County,1,1%
Outside MA,6,4%
Total,156,100%
