,Males,Total
Suffolk County,57,20%
Hampden County,46,16%
Essex County,40,14%
Middlesex County,38,13%
Worcester County,34,12%
Norfolk County,10,4%
Bristol County,10,4%
Plymouth County,10,4%
Franklin County,7,2%
Barnstable County,6,2%
Berkshire County,3,1%
Hampshire County,1,<1%
Outside MA,20,7%
Total,282,100%
