,Female,Male,Total
New York,4,18,22
Rhode Island,3,13,16
New Hampshire,3,11,14
Connecticut,1,11,12
Florida,2,8,10
Maine,0,5,5
Vermont,1,4,5
Pennsylvania,1,4,5
North Carolina,0,5,5
New Jersey,0,3,3
Virginia,0,2,2
Puerto Rico,0,2,2
California,0,1,1
Georgia,0,1,1
Alabama,0,1,1
Louisiana,0,1,1
Arizona,1,0,1
Oklahoma,0,1,1
Tennessee,0,1,1
Total,16,92,108
