,Males,Total
Suffolk County,58,34%
Bristol County,22,13%
Middlesex County,21,12%
Worcester County,14,8%
Hampden County,10,6%
Plymouth County,10,6%
Essex County,8,5%
Norfolk County,8,5%
Barnstable County,8,5%
Hampshire County,2,1%
Berkshire County,2,1%
Outside MA,7,4%
Total,170,100%
