,Males,Total
Middlesex County,28,20%
Hampden County,25,18%
Suffolk County,24,17%
Essex County,24,17%
Worcester County,15,11%
Norfolk County,5,4%
Berkshire County,5,4%
Bristol County,4,3%
Plymouth County,4,3%
Barnstable County,1,1%
Outside MA,5,4%
Total,140,100%
