,Females,Total
Middlesex County,45,25%
Essex County,31,17%
Plymouth County,26,14%
Norfolk County,23,13%
Suffolk County,17,9%
Bristol County,15,8%
Worcester County,8,4%
Barnstable County,5,3%
Hampden County,3,2%
Hampshire County,1,1%
Outside MA,7,4%
Total,181,100%
