,Females,Males,Total
Amesbury,5,5,10
Andover,2,2,4
Beverly,1,6,7
Boxford,0,1,1
Danvers,2,3,5
Georgetown,0,2,2
Gloucester,7,3,10
Haverhill,21,28,49
Ipswich,1,2,3
Lawrence,20,84,104
Lynn,37,61,98
Lynnfield,1,2,3
Marblehead,0,2,2
Merrimac,1,0,1
Methuen,3,8,11
Newbury,0,2,2
ewburyport,1,1,2
Peabody,7,8,15
Rowley,0,1,1
Salem,6,9,15
Salisbury,10,3,13
Saugus,3,7,10
Swampscott,1,0,1
Total,128,241,369
