,Females,Total
Essex County,95,24%
Middlesex County,78,20%
Suffolk County,58,15%
Plymouth County,58,15%
Norfolk County,40,10%
Bristol County,21,5%
Worcester County,17,4%
Barnstable County,7,2%
Hampden County,6,2%
Berkshire County,2,1%
Outside MA,8,2%
Unknown,1,<1%
Total,391,100%
