City ,Total,%
Boston,551,20%
Springfield,207,8%
Worcester,116,4%
Brockton,105,4%
Lawrence,104,4%
Lynn,98,4%
New Bedford,78,3%
Lowell,75,3%
Fall River,51,2%
Haverhill,49,2%
Sub-Total,"1,434",53%
Other MA Cities/Towns,"1,160",43%
Outside MA,108,4%
Unknown,3,<1%
Total,"2,705",100%
