,Females,Males ,Total
Hampden County,9,64,73
Hampshire County,0,7,7
Essex County,1,5,6
Suffolk County,0,5,5
Plymouth County,0,4,4
Berkshire County,2,0,2
Worcester County,0,1,1
Barnstable County,0,1,1
Bristol County,0,1,1
Franklin County,0,1,1
Unknown,0,1,1
Total,12,90,102
