,Males,Total
Hampden County,27,23%
Worcester County,20,17%
Middlesex County,17,14%
Suffolk County,16,13%
Essex County,15,13%
Barnstable County,5,4%
Franklin County,4,3%
Berkshire County,4,3%
Hampshire County,3,3%
Bristol County,3,3%
Plymouth County,3,3%
Norfolk County,1,1%
Outside MA,2,2%
Total,120,100%
