,Females,Males,Total
Abington,2,2,4
Bridgewater,4,1,5
Brockton,33,72,105
Carver,2,3,5
East Bridgewater,3,2,5
Halifax,0,1,1
Hanover,0,1,1
Hanson,3,1,4
Hingham,2,1,3
Hull,1,2,3
Kingston,1,0,1
Lakeville,1,1,2
Marion,1,2,3
Marshfield,1,2,3
Mattapoisett,1,2,3
Middleborough,3,7,10
Norwell,0,3,3
Pembroke,2,1,3
Plymouth,7,12,19
Plympton,0,2,2
Rockland,4,4,8
Scituate,3,1,4
Wareham,8,10,18
West Bridgewater,3,0,3
Whitman,0,3,3
Total,85,136,221
