,Males,Total
Worcester County,9,15%
Suffolk County,8,13%
Essex County,8,13%
Middlesex County,6,10%
Hampden County,6,10%
Plymouth County,6,10%
Norfolk County,3,5%
Bristol County,3,5%
Barnstable County,3,5%
Franklin County,3,5%
Berkshire County,2,3%
Outside MA,4,7%
Total,61,100%
