,Females,Males,Total
Ashburnham,0,1,1
Athol,0,3,3
Auburn,1,1,2
Blackstone,1,1,2
Clinton,1,1,2
Dudley,0,1,1
Fitchburg,4,20,24
Gardner,0,4,4
Hardwick,0,1,1
Hubbardston,0,1,1
Lancaster,0,1,1
Leicester,0,3,3
Leominster,0,8,8
Lunenburg,2,2,4
Milford,0,3,3
Millbury,2,1,3
Northbridge,0,2,2
Oakham,0,2,2
Oxford,0,3,3
Paxton,0,1,1
Southbridge,0,7,7
Spencer,1,2,3
Sturbridge,0,1,1
Templeton,0,1,1
Uxbridge,0,3,3
Webster,0,4,4
Westborough,11,8,19
Westminster,0,1,1
Winchendon,3,1,4
Worcester,7,109,116
Total,33,197,230
