,Female,%
Boston,68,11%
Lynn,37,6%
Brockton,33,5%
Haverhill,21,3%
Lowell,21,3%
Lawrence,20,3%
Ashland,16,2%
Quincy,14,2%
Framingham,12,2%
New Bedford,12,2%
Sub-Total,254,42%
Other MA Cities,329,55%
Outside MA,16,3%
Unknown,2,<1%
Total,601,100%
