,Males,Total
Suffolk County,8,32%
Essex County,5,20%
Middlesex County,3,12%
Worcester County,3,12%
Bristol County,2,8%
Hampden County,1,4%
Norfolk County,1,4%
Plymouth County,1,4%
Outside MA,1,4%
Total,25,100%
