,Males,Total
Suffolk County,52,33%
Middlesex County,25,16%
Essex County,23,15%
Hampden County,17,11%
Worcester County,10,6%
Norfolk County,8,5%
Bristol County,7,4%
Plymouth County,5,3%
Barnstable County,2,1%
Franklin County,1,1%
Outside MA,7,4%
Total,157,100%
