,Females,Males,Total
Avon,1,0,1
Bellingham,1,1,2
Braintree,6,10,16
Brookline,0,1,1
Canton,2,1,3
Dedham,3,4,7
Foxborough,1,4,5
Franklin,4,1,5
Holbrook,1,1,2
Millis,0,1,1
Milton,1,1,2
Norfolk,0,1,1
Norwood,5,3,8
Plainville,1,0,1
Quincy,14,32,46
Randolph,7,10,17
Stoughton,2,6,8
Walpole,3,1,4
Westwood,1,1,2
Weymouth,10,13,23
Wrentham,0,1,1
Total,69,93,156
