,Females,Total
Worcester County,8,50%
Suffolk County,2,13%
Essex County,1,6%
Middlesex,1,6%
Plymouth County,1,6%
Franklin County,1,6%
Berkshire County,1,6%
Unknown,1,6%
Total,16,100%
