,Males,Total
Suffolk County,38,32%
Essex County,13,11%
Middlesex County,12,10%
Bristol County,11,9%
Plymouth County,10,9%
Hampden County,8,7%
Norfolk County,8,7%
Worcester County,7,6%
Barnstable County,1,1%
Berkshire County,1,1%
Outside MA,8,7%
Total,117,100%
