,Males,Total
Suffolk County,40,28%
Essex County,16,11%
Bristol County,16,11%
Worcester County,15,11%
Middlesex County,14,10%
Hampden County,14,10%
Plymouth County,13,9%
Norfolk County,6,4%
Franklin County,1,1%
Barnstable County,1,1%
Berkshire County,1,1%
Outside MA,5,4%
Total,142,100%
