,Males,Total
Suffolk County,60,25%
Essex County,32,13%
Middlesex County,31,13%
Worcester County,24,10%
Bristol County,21,9%
Plymouth County,18,8%
Hampden County,14,6%
Norfolk County,12,5%
Barnstable County,7,3%
Berkshire County,4,2%
Hampshire County,2,1%
Franklin County,2,1%
Outside MA,11,4%
Total,238,100%
