,Males,Total
Suffolk County,60,28%
Middlesex County,24,11%
Bristol County,23,11%
Plymouth County,23,11%
Worcester County,20,11%
Essex County,19,9%
Hampden County,16,7%
Barnstable County,9,4%
Norfolk County,7,3%
Hampshire County,2,1%
Dukes County,1,<1%
Franklin County,1,<1%
Outside MA,9,4%
Total,214,100%
