,Males,Total
Suffolk County,19,31%
Middlesex County,12,20%
Bristol County,6,10%
Norfolk County,5,8%
Essex County,5,8%
Plymouth County,5,8%
Barnstable County,3,5%
Hampden County,2,3%
Worcester County,2,3%
Outside MA,2,3%
Total,61,100%
