,Males,Total
Suffolk County,10,28%
Middlesex County,5,14%
Plymouth County,5,14%
Essex County,4,11%
Worcester County,3,8%
Bristol County,3,8%
Hampden County,2,6%
Norfolk County,1,3%
Outside MA,3,8%
Total,36,100%
