,Male,%
Boston,483,23%
Springfield,197,9%
Worcester,109,5%
Lawrence,84,4%
Brockton,72,3%
New Bedford,66,3%
Lynn,61,3%
Lowell,54,3%
Fall River,44,2%
Holyoke,41,2%
Sub-Total,"1,190",57%
Other MA Cities,820,39%
Outside MA,92,4%
Unknown,1,<1%
Total,"2,104",100%
