,Males,Total
Suffolk County,20,22%
Bristol County,18,20%
Essex County,12,13%
Plymouth County,12,13%
Norfolk County,9,10%
Worcester County,5,6%
Middlesex County,4,4%
Barnstable County,4,4%
Hampden County,3,3%
Dukes County,1,1%
Outside MA,2,2%
Total,90,100%
