ID,Area Type,Area,Period Year,Period Type,Period,Adjusted,Labor Force,Emplab,Unemployed,Unemployment Rate,Seasaonally Adjusted,Areatype Name,Area Name
4000023,4,23,2014,3,1,0,262680,243545,19135,7.3,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,2,0,263872,245276,18596,7,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,3,0,264983,247245,17738,6.7,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,4,0,262953,247677,15276,5.8,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,5,0,263622,248250,15372,5.8,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,6,0,268670,251963,16707,6.2,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,7,0,270282,253213,17069,6.3,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,8,0,269949,253963,15986,5.9,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,9,0,266413,250798,15615,5.9,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,10,0,268051,254211,13840,5.2,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,11,0,268874,255006,13868,5.2,Not Adjusted,County,Plymouth County
4000023,4,23,2014,3,12,0,268254,254458,13796,5.1,Not Adjusted,County,Plymouth County
4000023,4,23,2014,1,0,0,266550,250467,16083,6,Not Adjusted,County,Plymouth County
