ID,Area Type,Area,Period Year,Period Type,Period,Adjusted,Labor Force,Emplab,Unemployed,Unemployment Rate,Seasaonally Adjusted,Areatype Name,Area Name
4000003,4,3,2014,3,1,0,65205,59998,5207,8,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,2,0,65293,60190,5103,7.8,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,3,0,65103,60236,4867,7.5,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,4,0,64436,60048,4388,6.8,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,5,0,65429,61238,4191,6.4,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,6,0,67468,63089,4379,6.5,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,7,0,68197,63873,4324,6.3,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,8,0,68086,64103,3983,5.8,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,9,0,65929,61960,3969,6,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,10,0,66153,62623,3530,5.3,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,11,0,65848,62156,3692,5.6,Not Adjusted,County,Berkshire County
4000003,4,3,2014,3,12,0,66234,62393,3841,5.8,Not Adjusted,County,Berkshire County
4000003,4,3,2014,1,0,0,66116,61826,4290,6.5,Not Adjusted,County,Berkshire County
