ID,Area Type,Area,Period Year,Period Type,Period,Adjusted,Labor Force,Emplab,Unemployed,Unemployment Rate,Seasaonally Adjusted,Areatype Name,Area Name
4000011,4,11,2014,3,1,0,39159,36666,2493,6.4,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,2,0,39301,36847,2454,6.2,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,3,0,39470,37132,2338,5.9,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,4,0,39690,37682,2008,5.1,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,5,0,39640,37671,1969,5,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,6,0,39854,37726,2128,5.3,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,7,0,39652,37460,2192,5.5,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,8,0,39531,37538,1993,5,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,9,0,39222,37240,1982,5.1,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,10,0,39694,37913,1781,4.5,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,11,0,39587,37806,1781,4.5,Not Adjusted,County,Franklin County
4000011,4,11,2014,3,12,0,39894,38047,1847,4.6,Not Adjusted,County,Franklin County
4000011,4,11,2014,1,0,0,39558,37477,2081,5.3,Not Adjusted,County,Franklin County
