ID,Area Type,Area,Period Year,Period Type,Period,Adjusted,Labor Force,Emplab,Unemployed,Unemployment Rate,Seasaonally Adjusted,Areatype Name,Area Name
4000015,4,15,2014,3,1,0,84994,79893,5101,6,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,2,0,85310,80594,4716,5.5,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,3,0,85688,81218,4470,5.2,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,4,0,86278,82167,4111,4.8,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,5,0,86004,81792,4212,4.9,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,6,0,86677,81844,4833,5.6,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,7,0,86358,81624,4734,5.5,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,8,0,86475,82206,4269,4.9,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,9,0,86146,81870,4276,5,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,10,0,87237,83419,3818,4.4,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,11,0,87239,83387,3852,4.4,Not Adjusted,County,Hampshire County
4000015,4,15,2014,3,12,0,87035,83320,3715,4.3,Not Adjusted,County,Hampshire County
4000015,4,15,2014,1,0,0,86287,81945,4342,5,Not Adjusted,County,Hampshire County
