ID,Area Type,Area,Period Year,Period Type,Period,Adjusted,Labor Force,Emplab,Unemployed,Unemployment Rate,Seasaonally Adjusted,Areatype Name,Area Name
4000013,4,13,2014,3,1,0,220284,199851,20433,9.3,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,2,0,221520,201852,19668,8.9,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,3,0,222361,203454,18907,8.5,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,4,0,221744,205338,16406,7.4,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,5,0,221059,204461,16598,7.5,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,6,0,222990,205024,17966,8.1,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,7,0,222892,204288,18604,8.3,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,8,0,223248,205750,17498,7.8,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,9,0,222228,205235,16993,7.6,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,10,0,224040,208937,15103,6.7,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,11,0,224156,208886,15270,6.8,Not Adjusted,County,Hampden County
4000013,4,13,2014,3,12,0,224070,208703,15367,6.9,Not Adjusted,County,Hampden County
4000013,4,13,2014,1,0,0,222549,205148,17401,7.8,Not Adjusted,County,Hampden County
