,Males,Total
Suffolk County,49,32%
Worcester County,19,12%
Middlesex County,14,9%
Bristol County,14,9%
Essex County,14,9%
Hampden County,13,8%
Plymouth County,10,7%
Norfolk County,5,3%
Barnstable County,3,2%
Berkshire County,1,1%
Outside MA,11,7%
Total,153,100%
