,Males,Total
Suffolk County,9,26%
Middlesex County,8,24%
Essex County,3,9%
Worcester County,3,9%
Hampden County,3,9%
Norfolk County,2,6%
Plymouth County,2,6%
Bristol County,1,3%
Hampshire County,1,3%
Outside MA,2,6%
Total,34,100%
