,City,Total,%
Boston,,497,19%
Springfield,,201,8%
Worcester,,142,5%
Lynn,,88,3%
Brockton,,81,3%
Lawrence,,79,3%
New Bedford,,79,3%
Fall River,,76,3%
Lowell,,61,2%
Haverhill,,56,2%
Sub-Total,,"1,360",51%
Other MA Cities/Towns,,"1,162",43%
Outside MA,,151,6%
Unknown,,5,<1%
Total,,"2,678",100%
