,Males,Total
Suffolk County,33,25%
Bristol County,15,12%
Worcester County,14,11%
Plymouth County,14,11%
Middlesex County,13,10%
Essex County,13,10%
Hampden County,11,8%
Norfolk County,8,6%
Berkshire County,5,4%
Franklin County,2,2%
Barnstable County,1,1%
Hampshire County,1,1%
Total,130,100%
