,Males,Total
Suffolk County,50,27%
Essex County,25,14%
Middlesex County,24,13%
Hampden County,15,8%
Worcester County,13,7%
Norfolk County,11,6%
Bristol County,10,5%
Plymouth County,9,5%
Barnstable County,3,2%
Berkshire County,1,1%
Nantucket County,1,1%
Outside MA,21,11%
Total,183,100%
