,Females,Males,Total
Acushnet,0,1,1
Attleboro,0,7,7
Dartmouth,1,1,2
Dighton,1,0,1
Easton,2,3,5
Fairhaven,0,3,3
Fall River,8,68,76
Freetown,0,2,2
Mansfield,0,1,1
New Bedford,11,68,79
North Attleboro,0,5,5
Norton,0,7,7
Rehoboth,0,1,1
Somerset,0,3,3
Swansea,0,4,4
Taunton,5,16,21
Westport,1,2,3
Total,29,192,221
