,Males,Total
Suffolk County,35,31%
Bristol County,13,11%
Essex County,11,10%
Worcester County,11,10%
Hampden County,11,10%
Middlesex County,8,7%
Plymouth County,6,5%
Norfolk County,4,4%
Berkshire County,3,3%
Franklin County,2,2%
Barnstable County,1,1%
Outside MA,9,8%
Total,114,100%
