,Males,Total
Suffolk County,59,20%
Worcester County,54,19%
Hampden County,49,17%
Essex County,37,13%
Middlesex County,28,10%
Bristol County,10,3%
Norfolk County,9,3%
Plymouth County,9,3%
Berkshire County,6,2%
Barnstable County,2,1%
Franklin County,2,1%
Hampshire County,2,1%
Outside MA,22,8%
Total,289,100%
