,Males,Total
Suffolk County,43,27%
Worcester County,23,15%
Middlesex County,21,13%
Bristol County,18,11%
Hampden County,13,8%
Essex County,13,8%
Plymouth County,9,6%
Norfolk County,4,3%
Barnstable County,3,2%
Franklin County,3,2%
Berkshire County,2,1%
Hampshire County,1,1%
Outside MA,3,2%
Unknown,1,1%
Total,157,100%
