,Male,%
Boston,435,21%
Springfield,196,9%
Worcester,134,6%
Fall River,68,3%
New Bedford,68,3%
Lawrence,62,3%
Brockton,60,3%
Lynn,59,3%
Lowell,48,2%
Everett,36,2%
Sub-Total,"1,166",56%
Other MA Cities,800,38%
Outside MA,127,6%
Unknown,4,<1%
Total,"2,097",100%
