,Males,Total
Bristol County,5,19%
Plymouth County,4,15%
Worcester County,4,15%
Suffolk County,3,12%
Middlesex County,3,12%
Norfolk County,3,12%
Hampden County,2,8%
Essex County,1,4%
Berkshire County,1,4%
Total,26,100%
