,Females,Total
Essex County,97,27%
Middlesex County,93,26%
Plymouth County,45,12%
Suffolk County,40,11%
Norfolk County,32,9%
Bristol County,19,5%
Worcester County,17,5%
Hampden County,5,1%
Barnstable County,4,1%
Berkshire County,1,<1%
Franklin County,1,<1%
Outside MA,8,2%
Total,362,100%
