,Females,Males,Total
Abington,3,1,4
Bridgewater,2,5,7
Brockton,21,60,81
Carver,1,5,6
Duxbury,0,2,2
East Bridgewater,1,2,3
Halifax,1,0,1
Hanover,1,3,4
Hanson,3,0,3
Hingham,1,0,1
Hull,2,1,3
Kingston,0,3,3
Lakeville,0,1,1
Marshfield,4,1,5
Middleborough,2,5,7
Norwell,1,0,1
Pembroke,2,2,4
Plymouth,10,8,18
Plympton,2,0,2
Rockland,5,6,11
Scituate,3,0,3
Wareham,5,9,14
Whitman,2,3,5
Total,72,117,189
