,Female,%
Boston,62,11%
Lynn,29,5%
Haverhill,27,5%
Ashland,21,4%
Brockton,21,4%
Lawrence,17,3%
Salisbury,16,3%
Lowell,13,2%
Framingham,12,2%
New Bedford,11,2%
Sub-Total,229,39%
Other MA Cities,327,56%
Outside MA,24,4%
Unknown,1,<1%
Total,581,100%
