,Males,Total
Suffolk County,27,18%
Worcester County,27,18%
Hampden County,23,15%
Essex County,16,11%
Franklin County,11,7%
Middlesex County,8,5%
Bristol County,8,5%
Berkshire County,5,3%
Plymouth County,5,3%
Barnstable County,3,2%
Norfolk County,3,2%
Outside MA,13,9%
Total,149,100%
