,Females,Males,Total
Barnstable,4,13,17
Bourne,2,1,3
Dennis,0,5,5
Eastham,0,1,1
Falmouth,3,4,7
Harwich,0,2,2
Mashpee,0,1,1
Orleans,0,1,1
Sandwich,0,4,4
Yarmouth,0,3,3
Total,9,35,44
