,Males,Total
Middlesex County,37,26%
Suffolk County,26,18%
Essex County,23,16%
Hampden County,18,12%
Worcester County,16,11%
Bristol County,8,6%
Berkshire County,3,2%
Franklin County,2,1%
Plymouth County,2,1%
Norfolk County,1,1%
Hampshire County,1,1%
Outside MA,8,6%
Total,145,100%
