,Females,Males,Total
Dalton,1,0,1
Hinsdale,0,1,1
Lee,1,0,1
New Marlborough,0,1,1
North Adams,0,2,2
Pittsfield,0,31,31
Savoy,0,1,1
Sheffield,0,1,1
Williamstown,0,1,1
Total,2,38,40
