,Females,Males,Total
Athol,0,5,5
Auburn,0,4,4
Barre,0,3,3
Berlin,0,1,1
Charlton,0,1,1
Clinton,0,2,2
Douglas,1,0,1
Dudley,1,1,2
Fitchburg,1,21,22
Gardner,1,7,8
Grafton,0,1,1
Hopedale,1,0,1
Leicester,1,1,2
Leominster,0,13,13
Lunenburg,1,1,2
Milford,1,2,3
Millbury,6,1,7
North Brookfield,0,1,1
Northborough,0,1,1
Northbridge,0,1,1
Paxton,0,1,1
Shrewsbury,0,2,2
Southbridge,1,7,8
Spencer,0,3,3
Sutton,1,0,1
Templeton,0,1,1
Upton,0,1,1
Uxbridge,0,1,1
Warren,0,3,3
Webster,0,5,5
West Boylston,0,1,1
West Brookfield,1,0,1
Westborough,9,15,24
Westminster,0,2,2
Winchendon,1,7,8
Worcester,8,134,142
Total,35,250,285
