,Males,Total
Suffolk County,11,22%
Bristol County,10,20%
Essex County,6,12%
Middlesex County,4,8%
Worcester County,4,8%
Norfolk County,3,6%
Plymouth County,3,6%
Berkshire County,2,4%
Hampden County,2,4%
Franklin County,1,2%
Hampshire County,1,2%
Barnstable County,1,2%
Outside MA,3,6%
Total,51,100%
