,Females,Males,Total
Amesbury,3,4,7
Beverly,3,5,8
Danvers,2,2,4
Georgetown,0,1,1
Gloucester,3,7,10
Haverhill,27,29,56
Lawrence,17,62,79
Lynn,29,59,88
Marblehead,0,2,2
Merrimac,1,1,2
Methuen,3,20,23
Newburyport,0,1,1
North Andover,2,2,4
Peabody,6,9,15
Rockport,1,0,1
Salem,8,14,22
Salisbury,16,2,18
Saugus,4,8,12
Swampscott,0,2,2
West Newbury,1,0,1
Total,126,230,356
