,Females,Males,Total
Hampden County,5,77,82
Suffolk County,0,7,7
Bristol County,0,6,6
Plymouth County,0,3,3
Franklin County,0,2,2
Hampshire County,0,2,2
Essex County,0,2,2
Middlesex County,1,0,1
Norfolk County,0,1,1
Outside MA,2,2,4
Unknown,0,3,3
Total,8,105,113
