County,Self-Reported Release Address Total
Suffolk,555
Middlesex,363
Essex,356
Hampden,285
Worcester,285
Bristol,221
Plymouth,189
Norfolk,137
Barnstable,44
Berkshire,40
Franklin,31
Hampshire,13
Dukes,2
Nantucket,1
