,Females,Total
Middlesex County,44,22%
Suffolk County,35,17%
Essex County,28,14%
Plymouth County,27,13%
Norfolk County,19,9%
Worcester County,12,6%
Bristol County,10,5%
Barnstable County,5,2%
Hampden County,3,1%
Hampshire County,2,1%
Franklin County,1,<1%
Dukes County,1,<1%
Outside MA,14,7%
Total,201,100%
