,Males,Total
Bristol County,12,19%
Suffolk County,11,17%
Worcester County,9,14%
Plymouth County,5,8%
Middlesex County,5,8%
Barnstable County,5,8%
Norfolk County,4,6%
Hampden County,4,6%
Essex County,3,5%
Dukes County,1,2%
Outside MA,4,6%
Total,63,100%
