,Males,Total
Worcester County,12,18%
Suffolk County,12,18%
Essex County,9,13%
Bristol County,8,12%
Hampden County,7,10%
Middlesex County,3,4%
Norfolk County,3,4%
Franklin County,3,4%
Barnstable County,2,3%
Plymouth County,2,3%
Hampshire County,1,1%
Berkshire County,1,1%
Outside MA,4,6%
Total,67,100%
