,Males,Total
Suffolk County,59,26%
Essex County,33,15%
Middlesex County,29,13%
Worcester County,26,12%
Bristol County,17,8%
Plymouth County,14,6%
Norfolk County,13,6%
Hampden County,12,5%
Barnstable County,5,2%
Berkshire County,5,2%
Franklin County,1,<1%
Outside MA,9,4%
Total,223,100%
