,Males,Total
Suffolk County,44,22%
Bristol County,35,17%
Essex County,21,10%
Plymouth County,20,10%
Middlesex County,19,9%
Worcester County,15,7%
Hampden County,11,5%
Norfolk County,11,5%
Barnstable County,5,2%
Berkshire County,3,1%
Hampshire County,1,<1%
Outside MA,16,8%
Total,201,100%
