Offense Category ,Males Number Releases ,Males Recidivism Rate ,Females Number Releases ,Females Recidivism Rate ,Total Number Releases ,Total Recidivism Rate
Property,192,30%,181,19%,373,25%
Person,704,20%,130,20%,834,20%
Drug,595,10%,103,18%,698,12%
Other,183,11%,150,11%,333,11%
Sex,111,9%,5,n.a.,116,9%
Total Releases,"1,785",16%,569,17%,"2,354",16%
