Release Type,Males Number Releases,Males Rec,Males Rate,Females Number Releases,Females Rec,Females Rate,Total Number Rleases,Total Rec,Total Rate
Parole To Street,415,127,31%,138,42,30%,553,169,31%
Expiration of Sentence,"1,370",162,12%,431,55,13%,"1,801",217,12%
Total Releases,"1,785",289,16%,569,97,17%,"2,354",386,16%
