Release Type,Males Number Releases,Males Rec,Males Rate,Females Number Releases,Females Rec,Females Rate,Total Number Rleases,Total Rec,Total Rate
Parole To Street,415,27,7%,138,11,8%,553,3800%,7%
Expiration of Sentence,"1,370",161,12%,431,50,12%,"1,801",21100%,12%
Total Releases,"1,785",188,10%,569,61,11%,"2,354",24900%,11%
