,Males ,Total
Suffolk County ,43,27%
Middlesex County ,25,16%
Essex County ,20,13%
Worcester County ,15,10%
Bristol County ,12,8%
Norfolk County ,11,7%
Berkshire County ,8,5%
Hampden County ,6,4%
Franklin County ,3,2%
Plymouth County ,3,2%
Barnstable County ,1,1%
Outside MA ,11,7%
Total ,158,100%
